code,term,dmd,type
317238000,Ranitidine 150mg effervescent tablets,317238000,VMP
317239008,Ranitidine 300mg effervescent tablets,317239008,VMP
317249006,Ranitidine 150mg tablets,317249006,VMP
317251005,Ranitidine 300mg tablets,317251005,VMP
317261003,Tripotassium dicitratobismuthate 120mg tablets,317261003,VMP
317264006,Sucralfate 1g/5ml oral suspension sugar free,317264006,VMP
317265007,Sucralfate 1g tablets,317265007,VMP
317275005,Famotidine 20mg tablets,317275005,VMP
317276006,Famotidine 40mg tablets,317276006,VMP
317280001,Nizatidine 150mg capsules,317280001,VMP
317281002,Nizatidine 300mg capsules,317281002,VMP
317288008,Misoprostol 200microgram tablets,317288008,VMP
317291008,Omeprazole 20mg gastro-resistant capsules,317291008,VMP
317295004,Omeprazole 40mg gastro-resistant capsules,317295004,VMP
317297007,Omeprazole 10mg gastro-resistant capsules,317297007,VMP
317309001,Lansoprazole 30mg gastro-resistant capsules,317309001,VMP
317310006,Lansoprazole 15mg gastro-resistant capsules,317310006,VMP
317315001,Ranitidine bismuth citrate 400mg tablets,317315001,VMP
317318004,Pantoprazole 40mg gastro-resistant tablets,317318004,VMP
317320001,Pantoprazole 40mg powder for solution for injection vials,317320001,VMP
317322009,Pantoprazole 20mg gastro-resistant tablets,317322009,VMP
317324005,Rabeprazole 10mg gastro-resistant tablets,317324005,VMP
317325006,Rabeprazole 20mg gastro-resistant tablets,317325006,VMP
317334001,Esomeprazole 40mg gastro-resistant tablets,317334001,VMP
317335000,Esomeprazole 20mg gastro-resistant tablets,317335000,VMP
317377000,Loperamide 2mg tablets,317377000,VMP
317378005,Loperamide 2mg capsules,317378005,VMP
317384008,Simeticone 125mg / Loperamide 2mg chewable tablets,317384008,VMP
317401002,Mesalazine 250mg suppositories,317401002,VMP
317402009,Mesalazine 500mg suppositories,317402009,VMP
317404005,Mesalazine 250mg gastro-resistant tablets,317404005,VMP
317408008,Mesalazine 1g suppositories,317408008,VMP
317417008,Mesalazine 400mg gastro-resistant tablets,317417008,VMP
317421001,Sodium cromoglicate 100mg capsules,317421001,VMP
317430009,Sulfasalazine 250mg/5ml oral suspension,317430009,VMP
317431008,Sulfasalazine 500mg tablets,317431008,VMP
317432001,Sulfasalazine 500mg suppositories,317432001,VMP
317435004,Olsalazine 250mg capsules,317435004,VMP
317437007,Olsalazine 500mg tablets,317437007,VMP
317446001,Budesonide 3mg gastro-resistant capsules,317446001,VMP
317448000,Balsalazide 750mg capsules,317448000,VMP
317487000,Ispaghula husk 90% granules sugar free,317487000,VMP
317499007,Methylcellulose 500mg tablets,317499007,VMP
317512004,Bisacodyl 5mg gastro-resistant tablets,317512004,VMP
317518000,Co-danthramer 25mg/200mg capsules,317518000,VMP
317521003,Co-danthrusate 50mg/60mg capsules,317521003,VMP
317528009,Co-danthrusate 50mg/60mg/5ml oral suspension sugar free,317528009,VMP
317529001,Co-danthramer 37.5mg/500mg capsules,317529001,VMP
317541008,Docusate 50mg/5ml oral solution sugar free,317541008,VMP
317544000,Docusate 100mg capsules,317544000,VMP
317548002,Senna 7.5mg tablets,317548002,VMP
317574008,Lactulose 3.1-3.7g/5ml oral solution,317574008,VMP
317605002,Bisacodyl 10mg suppositories,317605002,VMP
317678004,Hydrocortisone 25mg suppositories,317678004,VMP
317681009,Hydrocortisone 10% foam aerosol enema,317681009,VMP
317690002,Prednisolone sodium phosphate 5mg suppositories,317690002,VMP
317720004,Lidocaine 1% / Hydrocortisone 0.2% spray,317720004,VMP
317731007,Glyceryl trinitrate 0.2% ointment,317731007,VMP
317796004,Ursodeoxycholic acid 300mg tablets,317796004,VMP
317800005,Ursodeoxycholic acid 150mg tablets,317800005,VMP
317801009,Ursodeoxycholic acid 250mg capsules,317801009,VMP
317893003,Orlistat 120mg capsules,317893003,VMP
317895005,Digoxin 62.5microgram tablets,317895005,VMP
317896006,Digoxin 125microgram tablets,317896006,VMP
317897002,Digoxin 250microgram tablets,317897002,VMP
317906003,Digitoxin 100microgram tablets,317906003,VMP
317919004,Bendroflumethiazide 2.5mg tablets,317919004,VMP
317920005,Bendroflumethiazide 5mg tablets,317920005,VMP
317935006,Chlortalidone 50mg tablets,317935006,VMP
317940003,Cyclopenthiazide 500microgram tablets,317940003,VMP
317965001,Metolazone 5mg tablets,317965001,VMP
317967009,Polythiazide 1mg tablets,317967009,VMP
317970008,Xipamide 20mg tablets,317970008,VMP
317971007,Furosemide 20mg tablets,317971007,VMP
317972000,Furosemide 40mg tablets,317972000,VMP
317973005,Furosemide 500mg tablets,317973005,VMP
318010000,Furosemide 5mg/5ml oral solution sugar free,318010000,VMP
318021009,Bumetanide 1mg tablets,318021009,VMP
318022002,Bumetanide 5mg tablets,318022002,VMP
318023007,Bumetanide 1mg/5ml oral solution sugar free,318023007,VMP
318040003,Torasemide 2.5mg tablets,318040003,VMP
318041004,Torasemide 5mg tablets,318041004,VMP
318042006,Torasemide 10mg tablets,318042006,VMP
318052005,Amiloride 5mg tablets,318052005,VMP
318056008,Spironolactone 25mg tablets,318056008,VMP
318057004,Spironolactone 50mg tablets,318057004,VMP
318058009,Spironolactone 100mg tablets,318058009,VMP
318082004,Triamterene 50mg capsules,318082004,VMP
318096005,Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets,318096005,VMP
318097001,Amiloride 5mg / Bumetanide 1mg tablets,318097001,VMP
318098006,Triamterene 50mg / Benzthiazide 25mg capsules,318098006,VMP
318100006,Triamterene 50mg / Chlortalidone 50mg tablets,318100006,VMP
318101005,Triamterene 50mg / Furosemide 40mg tablets,318101005,VMP
318102003,Spironolactone 50mg / Furosemide 20mg capsules,318102003,VMP
318121006,Co-amilozide 2.5mg/25mg tablets,318121006,VMP
318127005,Co-flumactone 25mg/25mg tablets,318127005,VMP
318128000,Co-flumactone 50mg/50mg tablets,318128000,VMP
318135008,Co-amilofruse 2.5mg/20mg tablets,318135008,VMP
318136009,Co-amilofruse 5mg/40mg tablets,318136009,VMP
318137000,Co-amilofruse 10mg/80mg tablets,318137000,VMP
318176004,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets,318176004,VMP
318177008,Felodipine 5mg modified-release / Ramipril 5mg tablets,318177008,VMP
318186003,Amiodarone 100mg tablets,318186003,VMP
318187007,Amiodarone 200mg tablets,318187007,VMP
318204006,Verapamil 40mg tablets,318204006,VMP
318205007,Verapamil 80mg tablets,318205007,VMP
318206008,Verapamil 120mg tablets,318206008,VMP
318248001,Verapamil 160mg tablets,318248001,VMP
318276009,Flecainide 50mg tablets,318276009,VMP
318277000,Flecainide 100mg tablets,318277000,VMP
318299008,Mexiletine 50mg capsules,318299008,VMP
318317007,Quinidine sulfate 200mg tablets,318317007,VMP
318334004,Propafenone 150mg tablets,318334004,VMP
318335003,Propafenone 300mg tablets,318335003,VMP
318352004,Propranolol 10mg tablets,318352004,VMP
318353009,Propranolol 40mg tablets,318353009,VMP
318354003,Propranolol 80mg tablets,318354003,VMP
318355002,Propranolol 160mg tablets,318355002,VMP
318420003,Atenolol 50mg tablets,318420003,VMP
318421004,Atenolol 100mg tablets,318421004,VMP
318434003,Atenolol 25mg tablets,318434003,VMP
318443007,Betaxolol 20mg tablets,318443007,VMP
318445000,Labetalol 100mg tablets,318445000,VMP
318446004,Labetalol 200mg tablets,318446004,VMP
318447008,Labetalol 400mg tablets,318447008,VMP
318458004,Labetalol 50mg tablets,318458004,VMP
318474009,Metoprolol 100mg tablets,318474009,VMP
318475005,Metoprolol 50mg tablets,318475005,VMP
318480001,Nadolol 40mg tablets,318480001,VMP
318481002,Nadolol 80mg tablets,318481002,VMP
318483004,Oxprenolol 20mg tablets,318483004,VMP
318484005,Oxprenolol 40mg tablets,318484005,VMP
318485006,Oxprenolol 80mg tablets,318485006,VMP
318512002,Pindolol 5mg tablets,318512002,VMP
318513007,Pindolol 15mg tablets,318513007,VMP
318525005,Sotalol 40mg tablets,318525005,VMP
318526006,Sotalol 80mg tablets,318526006,VMP
318527002,Sotalol 200mg tablets,318527002,VMP
318528007,Sotalol 160mg tablets,318528007,VMP
318534000,Timolol 10mg tablets,318534000,VMP
318546001,Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets,318546001,VMP
318549008,Nadolol 40mg / Bendroflumethiazide 5mg tablets,318549008,VMP
318550008,Nadolol 80mg / Bendroflumethiazide 5mg tablets,318550008,VMP
318552000,Pindolol 10mg / Clopamide 5mg tablets,318552000,VMP
318555003,Generic Moducren tablets,318555003,VMP
318556002,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,318556002,VMP
318560004,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules,318560004,VMP
318575007,Co-tenidone 50mg/12.5mg tablets,318575007,VMP
318584007,Propranolol 80mg / Bendroflumethiazide 2.5mg capsules,318584007,VMP
318587000,Generic Kalten capsules,318587000,VMP
318590006,Bisoprolol 5mg tablets,318590006,VMP
318591005,Bisoprolol 10mg tablets,318591005,VMP
318604001,Bisoprolol 1.25mg tablets,318604001,VMP
318605000,Bisoprolol 2.5mg tablets,318605000,VMP
318606004,Bisoprolol 3.75mg tablets,318606004,VMP
318607008,Bisoprolol 7.5mg tablets,318607008,VMP
318619000,Celiprolol 200mg tablets,318619000,VMP
318622003,Celiprolol 400mg tablets,318622003,VMP
318631003,Carvedilol 12.5mg tablets,318631003,VMP
318632005,Carvedilol 25mg tablets,318632005,VMP
318633000,Carvedilol 3.125mg tablets,318633000,VMP
318635007,Carvedilol 6.25mg tablets,318635007,VMP
318649003,Hydralazine 25mg tablets,318649003,VMP
318650003,Hydralazine 50mg tablets,318650003,VMP
318655008,Minoxidil 2.5mg tablets,318655008,VMP
318656009,Minoxidil 5mg tablets,318656009,VMP
318657000,Minoxidil 10mg tablets,318657000,VMP
318667005,Clonidine 100microgram tablets,318667005,VMP
318668000,Clonidine 300microgram tablets,318668000,VMP
318671008,Methyldopa 125mg tablets,318671008,VMP
318672001,Methyldopa 250mg tablets,318672001,VMP
318673006,Methyldopa 500mg tablets,318673006,VMP
318707000,Moxonidine 200microgram tablets,318707000,VMP
318708005,Moxonidine 400microgram tablets,318708005,VMP
318724006,Debrisoquine 10mg tablets,318724006,VMP
318745004,Phenoxybenzamine 10mg capsules,318745004,VMP
318767003,Prazosin 500microgram tablets,318767003,VMP
318768008,Prazosin 1mg tablets,318768008,VMP
318769000,Prazosin 2mg tablets,318769000,VMP
318770004,Prazosin 5mg tablets,318770004,VMP
318776005,Terazosin 5mg tablets,318776005,VMP
318777001,Terazosin 10mg tablets,318777001,VMP
318779003,Terazosin 2mg tablets,318779003,VMP
318781001,Doxazosin 1mg tablets,318781001,VMP
318782008,Doxazosin 2mg tablets,318782008,VMP
318783003,Doxazosin 4mg tablets,318783003,VMP
318806002,Co-zidocapt 12.5mg/25mg tablets,318806002,VMP
318807006,Co-zidocapt 25mg/50mg tablets,318807006,VMP
318820009,Captopril 12.5mg tablets,318820009,VMP
318821008,Captopril 25mg tablets,318821008,VMP
318824000,Captopril 50mg tablets,318824000,VMP
318850001,Enalapril 2.5mg tablets,318850001,VMP
318851002,Enalapril 5mg tablets,318851002,VMP
318853004,Enalapril 10mg tablets,318853004,VMP
318855006,Enalapril 20mg tablets,318855006,VMP
318857003,Lisinopril 2.5mg tablets,318857003,VMP
318858008,Lisinopril 5mg tablets,318858008,VMP
318859000,Lisinopril 10mg tablets,318859000,VMP
318860005,Lisinopril 20mg tablets,318860005,VMP
318880006,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,318880006,VMP
318884002,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,318884002,VMP
318885001,Quinapril 5mg tablets,318885001,VMP
318886000,Quinapril 10mg tablets,318886000,VMP
318887009,Quinapril 20mg tablets,318887009,VMP
318894007,Quinapril 40mg tablets,318894007,VMP
318896009,Perindopril erbumine 2mg tablets,318896009,VMP
318897000,Perindopril erbumine 4mg tablets,318897000,VMP
318900007,Ramipril 1.25mg capsules,318900007,VMP
318901006,Ramipril 2.5mg capsules,318901006,VMP
318902004,Ramipril 5mg capsules,318902004,VMP
318906001,Ramipril 10mg capsules,318906001,VMP
318909008,Fosinopril 10mg tablets,318909008,VMP
318910003,Fosinopril 20mg tablets,318910003,VMP
318924004,Trandolapril 500microgram capsules,318924004,VMP
318925003,Trandolapril 1mg capsules,318925003,VMP
318926002,Trandolapril 2mg capsules,318926002,VMP
318934008,Moexipril 7.5mg tablets,318934008,VMP
318935009,Moexipril 15mg tablets,318935009,VMP
318942009,Imidapril 20mg tablets,318942009,VMP
318943004,Imidapril 5mg tablets,318943004,VMP
318944005,Imidapril 10mg tablets,318944005,VMP
318951001,,318951001,VMP
318955005,Losartan 25mg tablets,318955005,VMP
318956006,Losartan 50mg tablets,318956006,VMP
318959004,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,318959004,VMP
318961008,Valsartan 40mg capsules,318961008,VMP
318962001,Valsartan 80mg capsules,318962001,VMP
318963006,Valsartan 160mg capsules,318963006,VMP
318968002,Irbesartan 75mg tablets,318968002,VMP
318969005,Irbesartan 150mg tablets,318969005,VMP
318970006,Irbesartan 300mg tablets,318970006,VMP
318977009,Candesartan 2mg tablets,318977009,VMP
318978004,Candesartan 4mg tablets,318978004,VMP
318979007,Candesartan 8mg tablets,318979007,VMP
318980005,Candesartan 16mg tablets,318980005,VMP
318986004,Telmisartan 40mg tablets,318986004,VMP
318987008,Telmisartan 80mg tablets,318987008,VMP
318994006,Eprosartan 300mg tablets,318994006,VMP
318995007,Eprosartan 400mg tablets,318995007,VMP
318996008,Eprosartan 600mg tablets,318996008,VMP
319133007,Isosorbide mononitrate 10mg tablets,319133007,VMP
319134001,Isosorbide mononitrate 20mg tablets,319134001,VMP
319135000,Isosorbide mononitrate 40mg tablets,319135000,VMP
319217004,Nicardipine 20mg capsules,319217004,VMP
319218009,Nicardipine 30mg capsules,319218009,VMP
319222004,Nifedipine 5mg capsules,319222004,VMP
319223009,Nifedipine 10mg capsules,319223009,VMP
319280009,Isradipine 2.5mg tablets,319280009,VMP
319300008,Lacidipine 2mg tablets,319300008,VMP
319301007,Lacidipine 4mg tablets,319301007,VMP
319305003,Nicorandil 10mg tablets,319305003,VMP
319306002,Nicorandil 20mg tablets,319306002,VMP
319316005,Lercanidipine 10mg tablets,319316005,VMP
319364001,Isosorbide dinitrate 10mg tablets,319364001,VMP
319365000,Isosorbide dinitrate 20mg tablets,319365000,VMP
319366004,Isosorbide dinitrate 30mg tablets,319366004,VMP
319373009,Isosorbide dinitrate 1.25mg/dose sublingual spray sugar free,319373009,VMP
319384002,Glyceryl trinitrate 300microgram sublingual tablets,319384002,VMP
319385001,Glyceryl trinitrate 500microgram sublingual tablets,319385001,VMP
319386000,Glyceryl trinitrate 600microgram sublingual tablets,319386000,VMP
319407007,Glyceryl trinitrate 2% ointment,319407007,VMP
319417002,Cinnarizine 75mg capsules,319417002,VMP
319429006,Inositol nicotinate 500mg tablets,319429006,VMP
319430001,Inositol nicotinate 750mg tablets,319430001,VMP
319431002,Inositol nicotinate 1g/5ml oral suspension sugar free,319431002,VMP
319451003,Oxerutins 250mg capsules,319451003,VMP
319477006,Naftidrofuryl 100mg capsules,319477006,VMP
319733000,Warfarin 1mg tablets,319733000,VMP
319734006,Warfarin 3mg tablets,319734006,VMP
319735007,Warfarin 5mg tablets,319735007,VMP
319736008,Warfarin 500microgram tablets,319736008,VMP
319740004,Acenocoumarol 1mg tablets,319740004,VMP
319745009,Phenindione 10mg tablets,319745009,VMP
319746005,Phenindione 25mg tablets,319746005,VMP
319747001,Phenindione 50mg tablets,319747001,VMP
319758005,Dipyridamole 25mg tablets,319758005,VMP
319759002,Dipyridamole 100mg tablets,319759002,VMP
319773006,Aspirin 75mg dispersible tablets,319773006,VMP
319775004,Aspirin 75mg tablets,319775004,VMP
319781007,Aspirin 75mg gastro-resistant tablets,319781007,VMP
319801001,Ticlopidine 250mg tablets,319801001,VMP
319855002,Etamsylate 500mg tablets,319855002,VMP
319861004,Tranexamic acid 500mg tablets,319861004,VMP
319940007,Bezafibrate 200mg tablets,319940007,VMP
319948000,Colestyramine 4g oral powder sachets,319948000,VMP
319964008,Gemfibrozil 600mg tablets,319964008,VMP
319966005,Gemfibrozil 300mg capsules,319966005,VMP
319971003,Nicotinic acid 50mg tablets,319971003,VMP
319978009,Eicosapentaenoic acid 170mg/Docosahexaenoic acid 115mg caps,319978009,VMP
319984007,Acipimox 250mg capsules,319984007,VMP
319988005,Fenofibrate micronised 200mg capsules,319988005,VMP
319990006,Fenofibrate micronised 67mg capsules,319990006,VMP
319992003,Fenofibrate micronised 267mg capsules,319992003,VMP
319994002,Fenofibrate micronised 160mg tablets,319994002,VMP
319996000,Simvastatin 10mg tablets,319996000,VMP
319997009,Simvastatin 20mg tablets,319997009,VMP
320000009,Simvastatin 40mg tablets,320000009,VMP
320006003,Simvastatin 80mg tablets,320006003,VMP
320012008,Pravastatin 10mg tablets,320012008,VMP
320013003,Pravastatin 20mg tablets,320013003,VMP
320014009,Pravastatin 40mg tablets,320014009,VMP
320018007,Ciprofibrate 100mg tablets,320018007,VMP
320035006,Cerivastatin 100microgram tablets,320035006,VMP
320036007,Cerivastatin 200microgram tablets,320036007,VMP
320037003,Cerivastatin 300microgram tablets,320037003,VMP
320041004,Cerivastatin 400microgram tablets,320041004,VMP
320106000,Salbutamol 2mg tablets,320106000,VMP
320203000,Terbutaline 5mg tablets,320203000,VMP
320258002,Bambuterol 10mg tablets,320258002,VMP
320259005,Bambuterol 20mg tablets,320259005,VMP
320296001,Ephedrine hydrochloride 15mg tablets,320296001,VMP
320297005,Ephedrine hydrochloride 30mg tablets,320297005,VMP
320357005,Aminophylline 100mg tablets,320357005,VMP
320414004,Theophylline 125mg tablets,320414004,VMP
320415003,Theophylline 60mg/5ml oral liquid,320415003,VMP
320470000,Theophylline 120mg / Ephedrine hydrochloride 11mg tablets,320470000,VMP
320471001,Theophylline 120mg / Ephedrine sulfate 15mg tablets,320471001,VMP
320537007,Beclometasone 100micrograms/dose inhaler,320537007,VMP
320674000,Nedocromil 2mg/dose inhaler,320674000,VMP
320718000,Cyproheptadine 4mg tablets,320718000,VMP
320726008,Diphenhydramine 25mg tablets,320726008,VMP
320730006,Diphenhydramine 50mg tablets,320730006,VMP
320775009,Promethazine hydrochloride 10mg tablets,320775009,VMP
320776005,Promethazine hydrochloride 25mg tablets,320776005,VMP
320795003,Terfenadine 60mg tablets,320795003,VMP
320803005,Alimemazine 10mg tablets,320803005,VMP
320814008,Acrivastine 8mg capsules,320814008,VMP
320818006,Cetirizine 10mg tablets,320818006,VMP
320822001,Loratadine 10mg tablets,320822001,VMP
320826003,Fexofenadine 120mg tablets,320826003,VMP
320828002,Fexofenadine 180mg tablets,320828002,VMP
320884002,Montelukast 10mg tablets,320884002,VMP
320885001,Montelukast 5mg chewable tablets sugar free,320885001,VMP
320889007,Zafirlukast 20mg tablets,320889007,VMP
320935009,Carbocisteine 375mg capsules,320935009,VMP
320952008,Menthol and Eucalyptus inhalation,320952008,VMP
321080004,Pseudoephedrine hydrochloride 60mg tablets,321080004,VMP
321097005,Cloral betaine 707mg tablets,321097005,VMP
321104009,Clomethiazole 192mg capsules,321104009,VMP
321112001,Flunitrazepam 1mg tablets,321112001,VMP
321117007,Flurazepam 15mg capsules,321117007,VMP
321118002,Flurazepam 30mg capsules,321118002,VMP
321122007,Lormetazepam 500microgram tablets,321122007,VMP
321123002,Lormetazepam 1mg tablets,321123002,VMP
321127001,Nitrazepam 5mg tablets,321127001,VMP
321129003,Nitrazepam 2.5mg/5ml oral suspension,321129003,VMP
321141005,Nitrazepam 5mg/5ml oral suspension,321141005,VMP
321152004,Temazepam 10mg tablets,321152004,VMP
321153009,Temazepam 20mg tablets,321153009,VMP
321173004,Triclofos 500mg/5ml oral solution,321173004,VMP
321175006,Zopiclone 7.5mg tablets,321175006,VMP
321177003,Zopiclone 3.75mg tablets,321177003,VMP
321183000,Zolpidem 5mg tablets,321183000,VMP
321184006,Zolpidem 10mg tablets,321184006,VMP
321190005,Zaleplon 5mg capsules,321190005,VMP
321191009,Zaleplon 10mg capsules,321191009,VMP
321196004,Diazepam 2mg tablets,321196004,VMP
321197008,Diazepam 5mg tablets,321197008,VMP
321198003,Diazepam 10mg tablets,321198003,VMP
321199006,Diazepam 2mg/5ml oral solution,321199006,VMP
321203006,Diazepam 5mg/5ml oral solution,321203006,VMP
321238008,Diazepam 10mg suppositories,321238008,VMP
321241004,Alprazolam 250microgram tablets,321241004,VMP
321242006,Alprazolam 500microgram tablets,321242006,VMP
321246009,Bromazepam 3mg tablets,321246009,VMP
321247000,Chlordiazepoxide 5mg capsules,321247000,VMP
321248005,Chlordiazepoxide 10mg capsules,321248005,VMP
321249002,Chlordiazepoxide 5mg tablets,321249002,VMP
321250002,Chlordiazepoxide 10mg tablets,321250002,VMP
321272000,Clobazam 10mg tablets,321272000,VMP
321276002,Dipotassium clorazepate 7.5mg capsules,321276002,VMP
321277006,Dipotassium clorazepate 15mg capsules,321277006,VMP
321285002,Hydroxyzine 10mg tablets,321285002,VMP
321286001,Hydroxyzine 25mg tablets,321286001,VMP
321294008,Lorazepam 1mg tablets,321294008,VMP
321295009,Lorazepam 2.5mg tablets,321295009,VMP
321308004,Meprobamate 400mg tablets,321308004,VMP
321314006,Oxazepam 10mg tablets,321314006,VMP
321315007,Oxazepam 15mg tablets,321315007,VMP
321347002,Secobarbital sodium 50mg capsules,321347002,VMP
321355009,Amobarbital 50mg tablets,321355009,VMP
321357001,Secobarbital sodium 100mg capsules,321357001,VMP
321358006,Amobarbital sodium 60mg capsules,321358006,VMP
321362000,Butobarbital 100mg tablets,321362000,VMP
321365003,Chlorpromazine 10mg tablets,321365003,VMP
321366002,Chlorpromazine 25mg tablets,321366002,VMP
321367006,Chlorpromazine 50mg tablets,321367006,VMP
321368001,Chlorpromazine 100mg tablets,321368001,VMP
321387007,Chlorpromazine 100mg suppositories,321387007,VMP
321393004,Benperidol 250microgram tablets,321393004,VMP
321412006,Fluphenazine 1mg tablets,321412006,VMP
321413001,Fluphenazine 2.5mg tablets,321413001,VMP
321414007,Fluphenazine 5mg tablets,321414007,VMP
321416009,Haloperidol 1.5mg tablets,321416009,VMP
321417000,Haloperidol 5mg tablets,321417000,VMP
321418005,Haloperidol 10mg tablets,321418005,VMP
321419002,Haloperidol 20mg tablets,321419002,VMP
321420008,Haloperidol 10mg/5ml oral solution sugar free,321420008,VMP
321448008,Haloperidol 500microgram capsules,321448008,VMP
321450000,Haloperidol 5mg/5ml oral solution sugar free,321450000,VMP
321451001,Haloperidol 500microgram tablets,321451001,VMP
321461008,Levomepromazine 25mg tablets,321461008,VMP
321465004,Oxypertine 10mg capsules,321465004,VMP
321466003,Oxypertine 40mg tablets,321466003,VMP
321473008,Pericyazine 2.5mg tablets,321473008,VMP
321474002,Pericyazine 10mg tablets,321474002,VMP
321484001,Perphenazine 2mg tablets,321484001,VMP
321485000,Perphenazine 4mg tablets,321485000,VMP
321490002,Pimozide 2mg tablets,321490002,VMP
321491003,Pimozide 4mg tablets,321491003,VMP
321498009,Promazine 25mg tablets,321498009,VMP
321499001,Promazine 50mg tablets,321499001,VMP
321512009,Sulpiride 400mg tablets,321512009,VMP
321514005,Sulpiride 200mg tablets,321514005,VMP
321530002,Thioridazine 10mg tablets,321530002,VMP
321531003,Thioridazine 25mg tablets,321531003,VMP
321532005,Thioridazine 50mg tablets,321532005,VMP
