description,code_type,code_new
DRY COUGH,aurmedcode,au_20419011
DRY COUGH,conceptid,co_11833005
DRY COUGH,conceptid,co_139179005
DRY COUGH,ctv3,ct_Y7DvU
DRY COUGH,medcode,me_4931
DRY COUGH,readv2_5,re_1712.
DRY COUGH,readv2_7,re_1712.00
FEBRILE COLD,aurmedcode,au_667611000006110
FEBRILE COLD,ctv3,ct_Y02RV
FEBRILE COLD,medcode,me_6620
FEBRILE COLD,readv2_7,re_H00..13
FLU LIKE ILLNESS,aurmedcode,au_762181000006116
FLU LIKE ILLNESS,conceptid,co_95891005
FLU LIKE ILLNESS,ctv3,ct_Y103y
FLU LIKE ILLNESS,medcode,me_2157
FLU LIKE ILLNESS,readv2_5,re_H27z.
FLU LIKE ILLNESS,readv2_7,re_H27z.11
FLU-LIKE ILLNESS,ctv3,ct_Yadjp
INFLUENZA LIKE ILLNESS,aurmedcode,au_778711000006116
INFLUENZA LIKE ILLNESS,conceptid,co_195931008
INFLUENZA LIKE ILLNESS,ctv3,ct_Y103z
INFLUENZA LIKE ILLNESS,medcode,me_5947
INFLUENZA LIKE ILLNESS,readv2_7,re_H27z.12
INFLUENZA-LIKE ILLNESS,ctv3,ct_YMH4d
INFLUENZA-LIKE SYMPTOMS,aurmedcode,au_460161011
INFLUENZA-LIKE SYMPTOMS,conceptid,co_139168000
INFLUENZA-LIKE SYMPTOMS,conceptid,co_161913008
INFLUENZA-LIKE SYMPTOMS,conceptid,co_315642008
INFLUENZA-LIKE SYMPTOMS,ctv3,ct_YajUG
INFLUENZA-LIKE SYMPTOMS,medcode,me_8980
INFLUENZA-LIKE SYMPTOMS,readv2_5,re_16L..
INFLUENZA-LIKE SYMPTOMS,readv2_7,re_16L..00
NASAL CATARRH - ACUTE,aurmedcode,au_681561000006119
NASAL CATARRH - ACUTE,conceptid,co_64531003
NASAL CATARRH - ACUTE,ctv3,ct_Y02RW
NASAL CATARRH - ACUTE,medcode,me_896
NASAL CATARRH - ACUTE,readv2_7,re_H00..14
PERSISTENT COUGH,aurmedcode,au_423230012
PERSISTENT COUGH,conceptid,co_139188001
PERSISTENT COUGH,conceptid,co_161931009
PERSISTENT COUGH,conceptid,co_284523002
PERSISTENT COUGH,ctv3,ct_Ya4qa
PERSISTENT COUGH,medcode,me_3628
PERSISTENT COUGH,readv2_5,re_171B.
PERSISTENT COUGH,readv2_7,re_171B.00
PRODUCING SPUTUM,ctv3,ct_Y7DvW
PRODUCTIVE COUGH,ctv3,ct_Y7DvV
PRODUCTIVE COUGH -CLEAR SPUTUM,aurmedcode,au_252351017
PRODUCTIVE COUGH -CLEAR SPUTUM,conceptid,co_139180008
PRODUCTIVE COUGH -CLEAR SPUTUM,conceptid,co_161923004
PRODUCTIVE COUGH -CLEAR SPUTUM,ctv3,ct_Y7DvZ
PRODUCTIVE COUGH -CLEAR SPUTUM,medcode,me_7706
PRODUCTIVE COUGH -CLEAR SPUTUM,readv2_5,re_1713.
PRODUCTIVE COUGH -CLEAR SPUTUM,readv2_7,re_1713.00
PRODUCTIVE COUGH -GREEN SPUTUM,aurmedcode,au_252352012
PRODUCTIVE COUGH -GREEN SPUTUM,conceptid,co_139181007
PRODUCTIVE COUGH -GREEN SPUTUM,conceptid,co_161924005
PRODUCTIVE COUGH -GREEN SPUTUM,ctv3,ct_Y7DvY
PRODUCTIVE COUGH -GREEN SPUTUM,medcode,me_7773
PRODUCTIVE COUGH -GREEN SPUTUM,readv2_5,re_1714.
PRODUCTIVE COUGH -GREEN SPUTUM,readv2_7,re_1714.00
PRODUCTIVE COUGH NOS,aurmedcode,au_397882011
PRODUCTIVE COUGH NOS,conceptid,co_139183005
PRODUCTIVE COUGH NOS,conceptid,co_161926007
PRODUCTIVE COUGH NOS,conceptid,co_267034005
PRODUCTIVE COUGH NOS,ctv3,ct_Y7DvX
PRODUCTIVE COUGH NOS,medcode,me_1234
PRODUCTIVE COUGH NOS,readv2_7,re_1716.00
PRODUCTIVE COUGH-YELLOW SPUTUM,aurmedcode,au_252353019
PRODUCTIVE COUGH-YELLOW SPUTUM,conceptid,co_139182000
PRODUCTIVE COUGH-YELLOW SPUTUM,conceptid,co_161925006
PRODUCTIVE COUGH-YELLOW SPUTUM,ctv3,ct_Y7Dva
PRODUCTIVE COUGH-YELLOW SPUTUM,medcode,me_7708
PRODUCTIVE COUGH-YELLOW SPUTUM,readv2_5,re_1715.
PRODUCTIVE COUGH-YELLOW SPUTUM,readv2_7,re_1715.00
PYREXIAL COLD,aurmedcode,au_195731000006118
PYREXIAL COLD,conceptid,co_195648002
PYREXIAL COLD,ctv3,ct_Y02RX
PYREXIAL COLD,medcode,me_9093
PYREXIAL COLD,readv2_7,re_H00..15
RHINITIS - ACUTE,aurmedcode,au_162421000006116
RHINITIS - ACUTE,ctv3,ct_YMK6C
RHINITIS - ACUTE,medcode,me_3821
RHINITIS - ACUTE,readv2_7,re_H00..16
RHINORRHOEA,ctv3,ct_Y7EWG
WHOOPING COUGH,aurmedcode,au_46589015
WHOOPING COUGH,conceptid,co_154300007
WHOOPING COUGH,conceptid,co_186350009
WHOOPING COUGH,ctv3,ct_Y101C
WHOOPING COUGH,medcode,me_763
WHOOPING COUGH,readv2_7,re_A33..00
[D]COUGH,aurmedcode,au_317403015
[D]COUGH,conceptid,co_158383001
[D]COUGH,conceptid,co_207066005
[D]COUGH,conceptid,co_498061000000106
[D]COUGH,ctv3,ct_YM10a
[D]COUGH,medcode,me_1160
[D]COUGH,readv2_5,re_R062.
[D]COUGH,readv2_7,re_R062.00
